Calculando momentos exatos ate M_310...
  Momentos prontos em 20.2s

=== Validacao ===
  M1=1/2, M2=7/24 OK; momentos centrais impares (3,5,7,9) = 0 OK
  phi(1/2) calculado = 1.5000000000 (esperado 1.5), rel_err_cota=0.0e+00
  Validacao OK

=== Teste da Conjectura 3: ln(phi/phi0) e razao decisiva L_l ===
  ell      u      k_l     m       ln phi      ln phi0       ln r   L_l=phi(3x)/phi(x)*3^(1-l)    rel_err    tempo
  250   -2.0      218   244   -33881.377   -33880.708    -0.6688                     0.762244   0.00e+00     0.32s
  250   -1.0      234   244   -33863.726   -33863.057    -0.6689                     0.709941   0.00e+00     0.18s
  250   -0.5      242   244   -33855.349   -33854.680    -0.6689                     0.686388   0.00e+00     0.21s
  250    0.0      250   244   -33847.246   -33846.577    -0.6689                     0.664345   0.00e+00     0.12s
  250    0.5      258   244   -33839.400   -33838.731    -0.6690                     0.643671   0.00e+00     0.11s
  250    1.0      266   244   -33831.793   -33831.124    -0.6690                     0.624243   0.00e+00     0.12s
  250    2.0      282   244   -33817.246   -33816.577    -0.6689                     0.588700   0.00e+00     0.11s
  300   -2.0      265   294   -48892.633   -48891.968    -0.6645                     0.752810   0.00e+00     0.26s
  300   -1.0      283   294   -48872.970   -48872.305    -0.6645                     0.704788   0.00e+00     0.27s
  300   -0.5      291   294   -48864.630   -48863.965    -0.6646                     0.685354   0.00e+00     0.25s
  300    0.0      300   294   -48855.518   -48854.854    -0.6646                     0.664732   0.00e+00     0.25s
  300    0.5      309   294   -48846.677   -48846.012    -0.6646                     0.645313   0.00e+00     0.25s
  300    1.0      317   294   -48839.032   -48838.367    -0.6646                     0.628979   0.00e+00     0.27s
  300    2.0      335   294   -48822.515   -48821.851    -0.6646                     0.595084   0.00e+00     0.27s

=== Concluido em 24.1s ===
Conjectura 3: ln r deve convergir (ou oscilar limitado) - nao divergir a -inf/+inf
Teste decisivo (⋆5): L_l deve ter limsup < 1 (previsao via phi_0: L_l -> 2/3)
